AWB Code,Order ID,Charged Weight,Warehouse Pincode,Customer Pincode,Zone,Type of Shipment,Billing Amount (Rs.)
1091117229290,2001807004,0.68,121003,410206,d,Forward charges,90.2
1091117323005,2001807036,1.64,121003,516503,d,Forward charges,179.8
1091117323215,2001807084,0.67,121003,742103,d,Forward charges,90.2
1091117324394,2001807362,2,121003,452018,d,Forward charges,179.8
1091117325094,2001807415,1,121003,208001,b,Forward charges,61.3
1091117616121,2001809592,1.5,121003,244713,b,Forward charges,89.6
1091117795531,2001809794,1.5,121003,580007,d,Forward charges,135
1091117795623,2001809820,3,121003,360005,d,Forward charges,269.4
1091117223351,2001806471,1.7,121003,313027,d,Forward charges,179.8
1091117324011,2001807241,0.79,121003,341001,d,Forward charges,90.2
1091117327570,2001807981,0.5,121003,332715,d,Forward charges,45.4
1091117435602,2001808286,0.77,121003,302031,d,Forward charges,90.2
1091117437680,2001808801,0.8,121003,335001,d,Forward charges,90.2
1091117804200,2001810104,0.76,121003,334004,d,Forward charges,90.2
1091117957533,2001811153,0.76,121003,321001,d,Forward charges,90.2
1091117957942,2001811229,0.6,121003,324001,d,Forward charges,90.2
1091117958395,2001811363,0.59,121003,321608,d,Forward charges,90.2
1091118001865,2001811466,0.8,121003,302002,d,Forward charges,90.2
1091118009786,2001811809,0.5,121003,311011,d,Forward and RTO charges,86.7
1091118548333,2001812854,2.94,121003,306302,d,Forward charges,269.4
1091118553701,2001813009,1,121003,313001,d,Forward charges,90.2
1091118591534,2001812650,0.61,121003,302002,d,Forward charges,90.2
1091118925110,2001814580,0.15,121003,322255,d,Forward and RTO charges,86.7
1091119169701,2001815688,0.2,121003,302017,d,Forward charges,45.4
1091119367193,2001816131,0.7,121003,302017,d,Forward charges,90.2
1091119429202,2001816996,0.5,121003,335512,d,Forward charges,45.4
1091120959225,2001821185,2.1,121003,313001,d,Forward charges,224.6
1091120962515,2001821284,0.2,121003,313001,d,Forward charges,45.4
1091121031745,2001821679,0.2,121003,307026,d,Forward charges,45.4
1091121034114,2001821742,0.15,121003,327025,d,Forward charges,45.4
1091121034350,2001821750,0.8,121003,313333,d,Forward charges,90.2
1091121034641,2001821766,0.2,121003,313001,d,Forward charges,45.4
1091121183730,2001821995,0.5,121003,342008,d,Forward charges,45.4
1091121185863,2001821502,0.6,121003,314401,d,Forward charges,90.2
1091121305541,2001822466,1.1,121003,342301,d,Forward charges,135
1091121306101,2001820690,0.15,121003,313003,d,Forward charges,45.4
1091118004245,2001811604,0.8,121003,173212,b,Forward charges,61.3
1091120352712,2001819252,0.3,121003,174101,b,Forward charges,33
1091122418320,2001827036,1.6,121003,173213,b,Forward charges,117.9
1091117222360,2001806304,0.71,121003,302017,d,Forward charges,90.2
1091117227116,2001806768,1.02,121003,322201,d,Forward charges,135
1091117228133,2001806823,0.59,121003,314001,d,Forward charges,90.2
1091117228192,2001806828,0.69,121003,331022,d,Forward charges,90.2
1091117229183,2001806968,0.68,121003,305801,d,Forward charges,90.2
1091117324346,2001807328,2.28,121003,335502,d,Forward charges,224.6
1091117326424,2001807785,0.68,121003,306116,d,Forward charges,90.2
1091117326925,2001807852,0.74,121003,311001,d,Forward charges,90.2
1091117327474,2001807970,4.13,121003,302019,d,Forward charges,403.8
1091117333100,2001807329,0.73,121003,302039,d,Forward charges,90.2
1091117333251,2001807613,1.04,121003,335803,d,Forward charges,135
1091117436346,2001808475,0.7,121003,335001,d,Forward charges,90.2
1091117436652,2001808585,0.72,121003,175101,b,Forward charges,61.3
1091117437035,2001808679,0.72,121003,303903,d,Forward charges,90.2
1091117437293,2001808739,1.63,121003,342012,d,Forward charges,179.8
1091117437864,2001808832,2.47,121003,334001,d,Forward charges,224.6
1091117437890,2001808837,0.67,121003,302031,d,Forward charges,90.2
1091117438074,2001808883,0.72,121003,302012,d,Forward charges,90.2
1091117611501,2001808992,0.72,121003,342014,d,Forward charges,90.2
1091117613962,2001809270,0.68,121003,324005,d,Forward charges,90.2
1091117803511,2001809934,0.82,121003,302001,d,Forward charges,90.2
1091117804314,2001810125,0.66,121003,302004,d,Forward charges,90.2
1091117805390,2001810281,0.68,121003,302018,d,Forward charges,90.2
1091117806263,2001810549,1.86,121003,302017,d,Forward charges,179.8
1091117807140,2001810697,2.27,121003,324008,d,Forward charges,224.6
1091117904860,2001811039,0.68,121003,302020,d,Forward charges,90.2
1091117905022,2001811058,0.72,121003,302018,d,Forward charges,90.2
1091117958163,2001811306,1.1,121003,302017,d,Forward charges,135
1091118442390,2001812195,0.67,121003,302012,d,Forward charges,90.2
1091118551656,2001812941,0.73,121003,325207,d,Forward charges,90.2
1091117614452,2001809383,0.5,121003,303702,d,Forward and RTO charges,86.7
1091120922803,2001820978,0.5,121003,313301,d,Forward charges,45.4
1091121844806,2001811475,0.5,121003,173212,b,Forward charges,33
1091121846136,2001811305,0.5,121003,302020,d,Forward charges,45.4
